dataset_key,dataset_name,model_key,model_name,fold_a,fold_b,n_features,top_k,kendall_tau,spearman_rho,top_k_jaccard
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,1,5,22,10,0.8961038961038961,0.9740259740259741,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,2,3,22,10,0.922077922077922,0.9785431959345003,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,2,4,22,10,0.9567099567099567,0.9932241671372107,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,2,5,22,10,0.9567099567099567,0.989836250705816,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,3,4,22,10,0.9307359307359306,0.9774138904573689,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,3,5,22,10,0.8787878787878788,0.961603613777527,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,4,5,22,10,0.9307359307359306,0.9853190287972897,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,1,2,22,10,0.8874458874458874,0.9661208356860531,0.8181818181818182
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,1,3,22,10,0.9134199134199134,0.9751552795031055,0.8181818181818182
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,1,4,22,10,0.922077922077922,0.9819311123658953,0.8181818181818182
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,1,5,22,10,0.8701298701298701,0.9570863918690007,0.8181818181818182
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,2,3,22,10,0.9047619047619047,0.9762845849802373,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,2,4,22,10,0.9134199134199134,0.9830604178430267,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,2,5,22,10,0.9307359307359306,0.9853190287972897,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,3,4,22,10,0.922077922077922,0.9853190287972897,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,3,5,22,10,0.8528138528138528,0.9548277809147376,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,4,5,22,10,0.8787878787878788,0.9695087521174479,1.0
