dataset_key,dataset_name,model_key,model_name,feature,mean_abs_shap,mean_rank,rank_std,top_k_frequency,folds_observed,consensus_rank
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Massachusetts,0.0,63.0,0.7071067811865476,0.0,5,63
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,GeneralHealth_Fair,0.0003699747609946977,63.8,42.26937425607339,0.0,5,64
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Michigan,0.0,64.0,0.7071067811865476,0.0,5,65
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Minnesota,0.0,65.0,0.7071067811865476,0.0,5,66
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Mississippi,0.0,66.0,0.7071067811865476,0.0,5,67
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Missouri,0.0,67.0,0.7071067811865476,0.0,5,68
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Montana,0.0,68.0,0.7071067811865476,0.0,5,69
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Nebraska,0.0,69.0,0.7071067811865476,0.0,5,70
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Nevada,0.0,70.0,0.7071067811865476,0.0,5,71
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_New_Hampshire,0.0,71.0,0.7071067811865476,0.0,5,72
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_New_Jersey,0.0,72.0,0.7071067811865476,0.0,5,73
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_New_Mexico,0.0,73.0,0.7071067811865476,0.0,5,74
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_New_York,0.0,74.0,0.7071067811865476,0.0,5,75
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_North_Carolina,0.0,75.0,0.7071067811865476,0.0,5,76
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_North_Dakota,0.0,76.0,0.7071067811865476,0.0,5,77
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Ohio,0.0,77.0,0.7071067811865476,0.0,5,78
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Oklahoma,0.0,78.0,0.7071067811865476,0.0,5,79
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Oregon,0.0,79.0,0.7071067811865476,0.0,5,80
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Pennsylvania,0.0,80.0,0.7071067811865476,0.0,5,81
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Puerto_Rico,0.0,81.0,0.7071067811865476,0.0,5,82
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Rhode_Island,0.0,82.0,0.7071067811865476,0.0,5,83
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,LastCheckupTime_Within_past_year_anytime_less_than_12_months_ago_,0.00020349813631494957,83.0,36.89850945499018,0.0,5,84
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_South_Carolina,0.0,83.0,0.7071067811865476,0.0,5,85
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_South_Dakota,0.0,84.0,0.7071067811865476,0.0,5,86
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Tennessee,0.0,85.0,0.7071067811865476,0.0,5,87
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Texas,0.0,86.0,0.7071067811865476,0.0,5,88
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Utah,0.0,87.0,0.7071067811865476,0.0,5,89
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Vermont,0.0,88.0,0.7071067811865476,0.0,5,90
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Virgin_Islands,0.0,89.0,0.7071067811865476,0.0,5,91
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Virginia,0.0,90.0,0.7071067811865476,0.0,5,92
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Washington,0.0,91.0,0.7071067811865476,0.0,5,93
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_West_Virginia,0.0,92.0,0.7071067811865476,0.0,5,94
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Wisconsin,0.0,93.0,0.7071067811865476,0.0,5,95
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Wyoming,0.0,94.0,0.7071067811865476,0.0,5,96
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,GeneralHealth_Good,0.0,95.6,0.5477225575051643,0.0,5,97
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,LastCheckupTime_5_or_more_years_ago,0.0,96.8,0.8366600265340751,0.0,5,98
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,LastCheckupTime_Within_past_2_years_1_year_but_less_than_2_years_ago_,0.0,97.8,0.8366600265340751,0.0,5,99
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,LastCheckupTime_Within_past_5_years_2_years_but_less_than_5_years_ago_,0.0,98.8,0.8366600265340751,0.0,5,100
