dataset_key,dataset_name,model_key,model_name,fold,feature,mean_abs_shap
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,ChestPainType_ATA,0.030025940388441086
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,ChestPainType_NAP,0.022522665560245514
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,ChestPainType_TA,0.018906546756625175
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,RestingECG_LVH,0.17687581479549408
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,RestingECG_Normal,0.08285512775182724
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,RestingECG_ST,0.039823345839977264
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,ST_Slope_Down,0.007236745674163103
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,ST_Slope_Flat,0.5624911189079285
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,ST_Slope_Up,1.2372007369995117
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,Age,0.28505149483680725
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,RestingBP,0.27937403321266174
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,Cholesterol,0.39761868119239807
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,FastingBS,0.35057589411735535
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,MaxHR,0.3253025412559509
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,Oldpeak,0.4332888424396515
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,Sex,0.47901463508605957
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,ExerciseAngina,0.3175445795059204
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,ChestPainType_ASY,0.7798617482185364
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,ChestPainType_ATA,0.011839666403830051
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,ChestPainType_NAP,0.14484752714633942
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,ChestPainType_TA,0.011664562858641148
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,RestingECG_LVH,0.07197143137454987
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,RestingECG_Normal,0.12124405056238174
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,RestingECG_ST,0.03271568566560745
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,ST_Slope_Down,0.01351770106703043
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,ST_Slope_Flat,0.6137653589248657
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,ST_Slope_Up,1.0405197143554688
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,Age,0.28070834279060364
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,RestingBP,0.23759330809116364
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,Cholesterol,0.47007325291633606
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,FastingBS,0.3368389308452606
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,MaxHR,0.48072513937950134
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,Oldpeak,0.39226362109184265
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,Sex,0.4913260042667389
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,ExerciseAngina,0.3214646875858307
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,ChestPainType_ASY,0.7167211771011353
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,ChestPainType_ATA,0.009548713453114033
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,ChestPainType_NAP,0.12384491413831711
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,ChestPainType_TA,0.005111271981149912
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,RestingECG_LVH,0.0671938955783844
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,RestingECG_Normal,0.038751766085624695
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,RestingECG_ST,0.023501401767134666
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,ST_Slope_Down,0.017070338129997253
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,ST_Slope_Flat,0.43653932213783264
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,ST_Slope_Up,1.135581612586975
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,Age,0.29435035586357117
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,RestingBP,0.3413817584514618
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,Cholesterol,0.3855223059654236
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,FastingBS,0.3954824209213257
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,MaxHR,0.4861166477203369
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,Oldpeak,0.3304286003112793
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,Sex,0.3696800768375397
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,ExerciseAngina,0.4526199996471405
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,ChestPainType_ASY,0.8582267165184021
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,ChestPainType_ATA,0.017336387187242508
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,ChestPainType_NAP,0.13791611790657043
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,ChestPainType_TA,0.01347684022039175
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,RestingECG_LVH,0.04721393808722496
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,RestingECG_Normal,0.07508654147386551
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,RestingECG_ST,0.026082320138812065
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,ST_Slope_Down,0.0037317697424441576
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,ST_Slope_Flat,0.5249823331832886
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,ST_Slope_Up,1.0525506734848022
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,Age,0.25750383289473516
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,RestingBP,0.33016440388761237
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,Cholesterol,0.4427462790381375
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,FastingBS,0.3891272603496642
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,MaxHR,0.43504761777085404
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,Oldpeak,0.5502406383571888
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,Sex,0.46585696784930386
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,ExerciseAngina,0.4299942686058955
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,ChestPainType_ASY,0.9472393458859601
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,ChestPainType_ATA,0.05161858499475114
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,ChestPainType_NAP,0.09251107948103776
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,ChestPainType_TA,0.014028481292273035
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,RestingECG_LVH,0.06864220115155194
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,RestingECG_Normal,0.05724672523961472
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,RestingECG_ST,0.050595519705051724
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,ST_Slope_Down,0.013394862064496204
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,ST_Slope_Flat,0.6973469379989281
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,ST_Slope_Up,1.050944764760738
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,Age,0.38145226724556536
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,RestingBP,0.4120417320852132
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,Cholesterol,0.5260678039838526
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,FastingBS,0.33607831912426633
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,MaxHR,0.48024073426627883
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,Oldpeak,0.42487298494103937
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,Sex,0.6779023468592061
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,ExerciseAngina,0.5082752792401259
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,ChestPainType_ASY,1.1246395300576166
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,ChestPainType_ATA,0.02963263435219971
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,ChestPainType_NAP,0.051364513693604195
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,ChestPainType_TA,0.022052242769672208
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,RestingECG_LVH,0.15189749392537133
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,RestingECG_Normal,0.10914362081903616
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,RestingECG_ST,0.03705145740519939
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,ST_Slope_Down,0.002526259814636818
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,ST_Slope_Flat,0.5937820911272673
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,ST_Slope_Up,1.4964740745668579
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,Age,0.33970817366910117
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,RestingBP,0.31939491067208037
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,Cholesterol,0.4626917373351802
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,FastingBS,0.4024217458210019
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,MaxHR,0.4085637687200498
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,Oldpeak,0.5047706736073537
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,Sex,0.5060035893521032
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,ExerciseAngina,0.3362398895716743
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,ChestPainType_ASY,0.838952628945693
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,ChestPainType_ATA,0.01854244656191525
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,ChestPainType_NAP,0.15184599360628964
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,ChestPainType_TA,0.012668897026967378
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,RestingECG_LVH,0.055152676207143744
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,RestingECG_Normal,0.1502512387498559
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,RestingECG_ST,0.03395899922197491
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,ST_Slope_Down,0.0029859534805843323
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,ST_Slope_Flat,0.6444103382885317
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,ST_Slope_Up,1.2107255044964742
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,Age,0.30252407357865546
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,RestingBP,0.2814973049447874
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,Cholesterol,0.583427618023673
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,FastingBS,0.38126425343168363
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,MaxHR,0.5422790436417473
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,Oldpeak,0.4514393596912156
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,Sex,0.47844769585890573
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,ExerciseAngina,0.30699576023346853
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,ChestPainType_ASY,0.7880605373133078
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,ChestPainType_ATA,0.012491673845491812
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,ChestPainType_NAP,0.13713524023030518
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,ChestPainType_TA,0.003348638868929368
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,RestingECG_LVH,0.056860105146392385
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,RestingECG_Normal,0.05009205122111732
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,RestingECG_ST,0.03320105465325375
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,ST_Slope_Down,0.008881354869129023
